9,9,9,9,9,9,9,9,9,9,8,9,9,9,8,9,8,8,8,8,7,8,7,8,7,7,7,7,7,7,7,7,10,9,10,9,9,9,10,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,8,9
10,11,11,11,11,11,11,11,10,10,10,10,10,10,9,10,9,9,10,9,9,9,9,10,9,9,9,9,9,9,9,10,10,10,11,11,10,10,11,10,10,9,10,9,10,10,10,10,11,11,11,12,12,12,12,12,11,11,11,11,11,11,11,10
16,17,16,17,16,16,16,17,16,16,15,15,16,15,14,16,10,11,11,11,10,10,10,11,10,10,10,10,10,10,11,11,15,15,16,15,15,14,15,14,15,14,14,14,15,14,15,14,17,17,17,18,17,18,19,18,17,17,17,17,18,18,17,16
22,24,23,23,23,23,23,23,23,23,22,22,23,21,21,23,16,16,16,16,15,16,15,16,14,15,15,15,15,15,15,15,23,23,23,23,22,21,23,21,22,21,22,20,22,21,22,22,23,23,24,25,24,24,25,24,24,24,24,24,25,24,24,23
25,27,26,26,25,26,26,26,26,26,25,25,26,25,24,27,23,23,23,23,22,22,22,23,21,22,21,21,21,22,22,22,28,28,28,27,27,25,27,26,27,25,27,25,26,26,27,27,25,26,26,27,26,26,28,26,26,26,26,26,27,27,26,25
22,24,23,23,22,22,22,23,23,23,23,23,23,22,22,24,27,27,27,26,26,26,26,27,25,26,25,26,24,26,27,27,26,27,27,25,25,24,26,25,26,25,26,24,25,25,26,26,21,22,23,23,23,22,24,23,23,22,22,22,23,23,22,22
16,17,17,16,16,16,16,17,17,17,16,16,17,16,16,17,25,25,25,24,24,24,24,25,24,24,24,24,23,24,25,26,20,20,20,19,19,18,20,19,20,19,20,18,19,19,20,20,15,15,16,16,17,15,17,16,16,15,16,16,17,16,16,16
10,11,11,10,11,10,11,11,11,11,11,10,11,10,10,11,18,18,19,18,18,18,18,19,18,18,18,18,17,18,19,20,13,13,13,12,12,12,13,13,13,13,13,12,13,13,13,13,10,10,11,11,11,10,11,10,10,10,10,10,11,10,10,10
7,8,8,7,7,8,8,8,8,7,7,7,7,7,7,8,12,12,12,12,11,12,11,12,12,12,12,12,11,12,13,13,8,9,9,8,8,8,9,8,8,8,8,8,8,8,8,8,7,7,8,8,8,7,8,7,7,7,7,7,7,7,7,7
6,6,7,6,6,6,6,7,6,6,6,6,6,6,6,7,8,8,8,8,7,8,8,8,8,8,8,8,7,8,8,9,7,7,7,7,6,6,7,6,7,6,6,6,7,6,7,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,6,5,5,5,5,5,4,5,6,7,6,6,7,6,7,6,7,6,7,6,6,6,7,7,7,5,6,6,5,5,5,6,5,6,5,5,5,6,6,6,5,4,5,4,4,5,4,5,4,4,4,5,4,5,4,4,5
2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2
-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,2,2,2,3,3,2,2,3,2,2,2,3,3,3,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-2,-3,-3,-3,-3,-2
-6,-6,-6,-6,-5,-6,-6,-6,-5,-5,-5,-5,-5,-5,-5,-5,-2,-2,-2,-2,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-5,-4,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-5,-5,-6,-6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
-6,-7,-7,-7,-6,-6,-6,-7,-7,-6,-7,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-6,-6,-7,-6,-7,-6,-7,-6,-6,-6,-7,-6,-7,-6,-6,-7
-5,-6,-6,-6,-5,-5,-5,-6,-6,-5,-6,-6,-6,-5,-5,-6,-7,-7,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-6,-7,-7,-7,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-5,-6,-5,-6,-5,-6,-5,-5,-5,-6,-5,-6,-5,-5,-6
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-5,-6,-6,-6,-5,-6,-6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,-5,-5,-5,-5,-5,-5,-6,-5,-6,-5,-5,-5,-5,-5,-6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-6,-5,-5,-6,-6,-5,-5,-5,-5,-5,-6,-5,-5,-5,-5,-5,-5,-6,-5,-5,-6,-5,-5,-5,-5,-5,-5,-6,-5,-5
-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-4,-5,-5,-4,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5
-3,-4,-4,-3,-3,-4,-3,-4,-3,-4,-3,-4,-3,-3,-3,-4,-5,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-4,-4,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-3,-3,-4,-3,-3,-4,-3,-4,-3,-4,-4,-4,-4,-4,-3
-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-3,-4,-3,-3,-4,-4,-3,-4,-4,-4,-4,-3,-3,-2,-3,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-3,-3,-3,-3,-2,-2
-2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-2,-2,-2,-2,-2,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-2,-1,-1,-1,-2,-2,-1,-2,-2,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-2,-2,-1,-1
-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-1,-1,-2,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-2,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1
-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,1,-1,-1
-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,1,-1,-1
-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,0,1,-1,-1
-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-2,-1,-1,-1,-2,0,-1,-1,-1,-1,-1,0,0,0,0,1,2,3,1,1,1,2,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,-1,-1,-1,-1,-1,0,0,0,0,0,3,4,2,1,1,2,-1,-1
-1,-1,-1,-1,-1,0,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,0,-1,0,0,3,4,2,1,1,2,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,1,2,1,1,1,1,-1,-1
-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-2,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,-2,-1,0,0,-1,0,-1,-1
-1,-1,0,-1,-1,-1,0,0,-1,-1,0,0,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-2,-1,-1,-1,-4,-3,-2,-2,-2,-2,0,-1
-2,0,0,-1,-1,-1,0,0,0,-1,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,0,0,-2,0,-1,0,-1,-1,-2,-2,-1,-2,-2,-5,-4,-3,-3,-3,-2,0,-1
-1,0,0,-1,-1,-1,0,0,-1,-1,-1,0,0,-1,-2,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,-1,0,-1,0,-2,0,0,0,-2,-1,-2,-3,-1,-2,-3,-5,-5,-3,-3,-3,-3,0,-1
-1,1,0,-1,-1,-1,0,0,0,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,-1,0,-2,-1,0,0,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,1,0,0,-2,0,0,0,-2,-1,-2,-2,-1,-3,-3,-6,-6,-4,-4,-4,-4,1,-1
0,1,0,-1,0,-1,0,0,-1,0,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-2,0,0,0,-1,-1,1,0,0,1,1,2,0,0,1,1,0,2,1,0,2,0,1,-2,0,0,0,-1,0,-2,-1,-1,-4,-4,-9,-8,-6,-5,-6,-6,1,-1
0,2,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,1,0,0,0,-1,-1,0,-1,1,0,0,0,0,1,0,0,2,2,3,1,0,1,2,1,2,2,1,2,2,2,-1,0,0,0,0,1,-2,-1,-1,-4,-6,-13,-12,-9,-8,-8,-10,1,0
0,2,-1,0,0,0,1,1,0,-1,0,1,1,0,-1,1,0,0,1,0,0,1,0,2,1,2,1,1,1,2,1,3,2,3,1,0,1,3,2,2,2,2,3,2,2,-2,0,0,0,1,2,-3,-1,-1,-4,-7,-16,-14,-12,-10,-10,-13,1,0
0,3,-1,0,0,0,1,2,0,0,1,2,2,2,-1,1,2,2,2,2,2,2,2,3,2,4,2,2,1,2,2,3,1,2,1,-1,1,3,3,1,1,2,3,2,1,-2,-1,0,0,2,1,-2,-1,0,-4,-8,-15,-13,-13,-11,-10,-14,2,1
1,3,-1,2,0,1,1,2,1,1,0,3,2,3,-1,1,2,3,2,3,2,3,4,3,2,5,2,3,1,3,2,2,0,2,1,-2,1,2,4,1,0,1,3,2,0,-1,-1,0,0,3,1,-1,0,1,-1,-7,-8,-7,-10,-8,-6,-11,2,2
3,4,0,4,1,2,1,1,2,3,0,3,1,4,1,1,3,4,2,4,2,3,5,3,2,5,2,3,0,3,2,1,1,2,1,-2,2,2,5,1,0,1,3,2,1,1,0,0,1,4,2,2,3,3,2,-2,3,1,-3,-2,1,-3,2,3
4,3,2,6,3,4,1,1,3,5,2,4,1,4,3,3,3,4,2,5,2,2,5,2,2,4,2,3,1,2,1,1,2,2,2,1,3,1,5,1,1,0,2,2,3,5,2,2,3,4,3,6,8,5,7,5,15,11,6,7,11,8,3,4
4,2,4,7,6,6,1,1,4,7,4,4,2,4,6,4,4,4,2,4,2,2,4,1,2,2,2,2,2,1,1,0,3,0,3,4,4,0,4,1,2,0,0,1,4,8,3,3,5,4,3,10,11,7,12,14,26,20,16,16,19,17,2,4
3,0,3,5,8,5,2,2,5,6,6,3,2,2,7,3,4,3,3,3,2,1,2,0,1,0,2,1,2,0,0,0,1,-4,3,4,3,-3,1,-1,1,-2,-3,-1,3,9,3,4,4,1,2,11,11,7,14,20,32,25,23,23,23,21,1,2
1,-3,0,2,7,3,2,2,5,3,6,0,1,-1,6,1,3,1,2,0,2,-1,-1,-3,-1,-4,1,-2,1,-2,-1,-3,-3,-10,1,2,-1,-8,-5,-4,-3,-5,-8,-5,-1,6,1,2,1,-3,-1,9,5,4,13,22,31,25,25,24,23,20,-2,-1
-2,-7,-6,-2,2,-2,0,0,2,-1,3,-3,-2,-6,3,-3,0,-3,-1,-3,-1,-4,-5,-6,-4,-9,-2,-6,-2,-5,-3,-7,-10,-15,-3,-3,-6,-11,-12,-8,-8,-9,-12,-11,-7,1,-2,-2,-5,-9,-6,3,-3,-1,8,18,25,22,22,20,17,15,-5,-6
-4,-11,-13,-7,-3,-7,-5,-3,-3,-7,-3,-7,-6,-10,-1,-8,-6,-7,-5,-8,-6,-8,-10,-11,-8,-13,-6,-9,-6,-9,-7,-11,-15,-16,-8,-9,-11,-13,-17,-11,-12,-11,-15,-14,-13,-6,-5,-6,-11,-12,-10,-4,-11,-6,0,9,13,15,15,11,9,6,-8,-10
-6,-15,-15,-11,-8,-11,-10,-6,-8,-12,-9,-11,-10,-11,-5,-10,-11,-11,-9,-11,-10,-11,-13,-13,-12,-15,-9,-10,-9,-11,-10,-14,-16,-12,-11,-12,-13,-10,-18,-11,-13,-10,-14,-14,-16,-11,-7,-10,-15,-13,-11,-11,-15,-11,-9,-1,-1,4,5,0,-2,-2,-11,-13
-8,-16,-12,-13,-12,-13,-12,-9,-12,-15,-13,-13,-11,-10,-7,-10,-15,-12,-12,-13,-12,-12,-13,-11,-13,-13,-10,-8,-11,-10,-11,-12,-12,-4,-11,-10,-12,-5,-16,-8,-10,-6,-10,-9,-14,-13,-7,-12,-15,-9,-10,-15,-15,-14,-16,-11,-16,-7,-5,-12,-12,-8,-12,-13
-9,-15,-4,-13,-14,-12,-11,-9,-14,-14,-13,-12,-8,-7,-9,-8,-15,-11,-12,-11,-11,-9,-10,-6,-10,-8,-8,-4,-10,-7,-8,-7,-5,5,-7,-6,-9,2,-9,-4,-3,0,-5,-2,-8,-12,-6,-11,-10,-4,-7,-17,-12,-14,-20,-18,-27,-18,-15,-21,-20,-11,-11,-10
-9,-11,6,-10,-15,-10,-7,-8,-13,-10,-10,-9,-4,-2,-10,-5,-11,-8,-9,-8,-7,-5,-5,1,-4,-2,-4,0,-7,-2,-2,0,2,11,-3,-1,-5,7,0,-1,3,6,2,5,-1,-7,-4,-8,-3,2,-2,-15,-8,-12,-19,-23,-34,-26,-22,-25,-25,-11,-8,-4
-7,-3,15,-6,-14,-5,-1,-6,-10,-5,-6,-4,1,3,-11,-2,-5,-4,-5,-3,-1,0,0,6,3,4,0,4,-2,3,5,7,8,13,2,2,-1,10,7,2,7,10,7,11,4,-1,-2,-3,4,6,2,-12,-4,-7,-15,-24,-35,-30,-26,-26,-27,-10,-4,3
-3,7,18,-1,-11,0,3,-4,-5,0,-3,0,4,5,-10,1,1,0,-1,2,4,6,6,9,8,9,3,7,3,6,10,10,11,11,4,3,3,11,14,5,8,11,11,13,8,3,-1,2,10,9,5,-6,-1,-2,-10,-23,-31,-29,-26,-22,-25,-9,0,9
2,16,16,5,-4,7,7,-1,1,6,1,6,6,6,-7,3,5,4,4,6,7,10,10,8,11,10,4,8,6,8,11,10,11,7,5,4,7,8,16,7,6,9,13,12,9,5,1,7,13,9,7,0,2,4,-4,-19,-24,-25,-24,-16,-20,-9,5,14
7,21,12,10,6,13,8,4,6,11,5,10,6,5,-2,5,8,8,8,10,8,12,11,6,10,9,5,7,7,7,7,8,9,2,4,5,11,4,16,8,3,5,12,8,10,4,2,10,12,7,8,6,5,8,1,-12,-14,-18,-17,-8,-13,-10,9,15
10,21,5,12,16,16,9,9,11,15,9,13,6,2,4,7,9,10,11,12,8,11,11,2,7,7,5,3,7,5,1,5,6,-2,2,6,12,0,11,9,0,0,9,3,9,1,2,10,8,4,7,10,8,10,5,-3,-2,-9,-9,0,-3,-9,11,12
9,15,-1,12,22,16,8,11,14,15,12,13,6,-1,8,7,10,11,12,12,7,8,8,0,3,4,5,-2,5,2,-5,2,3,-4,0,7,11,-5,4,7,-1,-4,3,-2,7,-2,2,6,1,0,4,12,9,10,10,6,10,2,1,8,7,-6,12,5
5,5,-7,8,22,11,6,11,14,12,13,10,3,-3,9,5,10,9,11,8,6,2,4,-2,-1,1,4,-8,3,0,-8,0,0,-5,-2,5,7,-8,-3,4,-1,-7,-2,-6,3,-4,2,1,-4,-4,0,11,8,7,13,15,20,13,10,14,16,-2,11,-3
-1,-5,-13,2,14,1,3,7,10,6,9,3,0,-5,7,1,7,4,6,1,2,-4,-2,-3,-4,-2,1,-12,0,-2,-8,-2,-4,-5,-3,2,2,-9,-8,0,0,-8,-7,-8,-2,-4,2,-3,-7,-7,-4,8,4,3,14,20,26,21,17,16,22,4,8,-10
-6,-12,-16,-5,3,-8,-1,0,3,-3,2,-4,-4,-5,4,-4,3,-3,-1,-6,-3,-9,-8,-3,-4,-4,-2,-12,-1,-4,-5,-4,-5,-4,-4,-2,-2,-8,-10,-4,0,-6,-8,-8,-6,-2,3,-5,-7,-6,-6,4,0,0,13,22,28,26,20,16,23,10,4,-13
-7,-14,-18,-9,-8,-16,-6,-5,-4,-10,-5,-9,-7,-2,2,-6,-2,-9,-8,-11,-7,-11,-12,-2,-4,-5,-5,-8,-2,-4,-2,-5,-6,-2,-3,-6,-4,-4,-9,-7,0,-4,-7,-6,-9,1,3,-4,-4,-4,-7,2,-2,-2,10,21,25,26,20,15,20,12,0,-12
-5,-11,-16,-11,-15,-18,-9,-9,-9,-14,-11,-11,-8,2,1,-6,-7,-11,-13,-12,-10,-10,-12,-2,-4,-4,-7,-1,-2,-4,1,-5,-5,0,-1,-7,-5,0,-5,-8,0,-3,-3,-3,-8,5,3,-2,-1,-1,-5,1,-3,-1,5,16,18,22,17,12,15,13,-4,-8
-1,-7,-10,-9,-17,-15,-9,-9,-11,-13,-13,-10,-6,7,1,-4,-9,-9,-13,-8,-10,-6,-10,0,-3,-2,-6,5,-2,-3,3,-3,-3,0,2,-5,-4,3,-2,-7,0,-1,0,0,-6,8,3,1,2,1,-2,0,-2,0,1,11,10,17,13,8,8,11,-6,-4
3,-2,-2,-5,-14,-8,-8,-8,-10,-9,-11,-6,-3,9,2,0,-8,-5,-10,-3,-7,-2,-5,0,-3,-1,-5,10,-1,-2,4,-1,-1,0,5,-1,-4,5,0,-4,0,0,2,2,-2,9,2,2,4,2,0,0,0,1,-2,4,2,10,8,5,2,7,-7,0
